id,question,A,B,C,D,solution,category,difficulty
1381,SOCl₂ converts alcohols to alkyl chlorides with what stereochemistry?,Inversion,Retention,Racemization,None,A,organic,medium
1382,Which reaction uses methyltriphenylphosphonium ylide?,Wittig reaction,Aldol condensation,Claisen,Michael addition,A,organic,medium
1383,Which peracid is commonly used for epoxidation?,mCPBA,Peracetic acid,H₂O₂,KMnO₄,A,organic,medium
1384,The Hell–Volhard–Zelinsky reaction brominates which position of carboxylic acids?,Alpha position,Beta,Gamma,Delta,A,organic,medium
1385,Gabriel synthesis generates primary amines from which precursor?,Phthalimide,Azide,Imine,Nitrile,A,organic,medium
1386,Which protecting group is removed by TBAF?,TBDMS,THP,Acetyl,Benzyl,A,organic,medium
1387,Cope elimination transforms tertiary amine oxides to?,Alkenes,Alcohols,Amines,Ethers,A,organic,medium
1388,Hofmann elimination yields which alkene as major product?,Less substituted alkene,More substituted alkene,Random,Conjugated,A,organic,medium
1389,What product arises from dihydroxylation of alkenes with OsO₄?,Vicinal diol,Epoxide,Ketone,Alcohol,A,organic,medium
1390,Which reagent performs dihydroxylation under mild conditions?,OsO₄,KMnO₄,H₂O₂,mCPBA,A,organic,medium
1391,What does Claisen rearrangement of allyl phenyl ether produce?,o-Allylphenol,m-Allylphenol,p-Allylphenol,No reaction,A,organic,medium
1392,Which reagent performs Hofmann rearrangement of amides to amines?,Br₂/NaOH,PCl₅,SOCl₂,PCC,A,organic,medium
1393,The Curtius rearrangement transforms acyl azides into?,Isocyanates,Carboxylic acids,Esters,Amides,A,organic,medium
1394,Which reagent reduces nitriles to primary amines?,LiAlH₄,NaBH₄,H₂/Pt,BH₃,A,organic,medium
1395,Which reagent selectively oxidizes primary alcohols to aldehydes?,PCC,KMnO₄,CrO₃,H₂O₂,A,organic,medium
1396,Baeyer–Villiger oxidation of ketones produces?,Esters,Alcohols,Acids,Alkenes,A,organic,medium
1397,Which reagent mediates Baeyer–Villiger oxidation?,mCPBA,H₂O₂/acid,Peracetic acid,All of the above,A,organic,medium
1398,Which reaction removes benzyl ethers by hydrogenolysis?,H₂/Pd,TBAF,HCl,NaOH,A,organic,medium
1399,Beckmann rearrangement converts oximes to?,Amides,Nitriles,Esters,Carboxylic acids,A,organic,medium
1400,Which reagent dehydrates amides to nitriles?,POCl₃,PCC,PDC,SOCl₂,A,organic,medium
1401,Which reagent performs Sandmeyer reaction to introduce Cl?,CuCl,CuBr,HCl,FeCl₃,A,organic,medium
1402,Which reaction couples phenols with diazonium salts?,Azo coupling,Friedel–Crafts,Sandmeyer,Hell–Volhard,A,organic,medium
1403,Which reagent diazotizes aromatic amines?,NaNO₂/HCl,HNO₃,H₂O₂,Br₂,A,organic,medium
1404,Which reagent protects alcohols as benzyl ethers?,BnBr/NaH,TBDMSCl/pyridine,Ac₂O/pyridine,TsCl/pyridine,A,organic,medium
1405,Which reagent removes benzyl protecting groups?,H₂/Pd,NaOH,HCl,TBAF,A,organic,medium
1406,Which reaction couples alkynes to form diynes?,Glaser coupling,Heck,Suzuki,Sonogashira,A,organic,medium
1407,Which catalyst is used in Suzuki coupling?,Pd(0),Pt,Ni,Cu,A,organic,medium
1408,Which reaction couples two terminal alkynes?,Glaser coupling,Heck,Suzuki,Sonogashira,A,organic,medium
1409,Which reagent performs Sonogashira coupling?,Pd(PPh₃)₂Cl₂/CuI,PtCl₂,NiCl₂,FeCl₃,A,organic,medium
1410,Which reagent converts alkyl halides to nitriles via SN₂?,NaCN,KCN,LiCN,NH₄CN,A,organic,medium
1411,What mechanism describes acid-catalyzed nitrile hydrolysis?,Hydration acid-catalyzed,Base-catalyzed,Radical,Photochemical,A,organic,medium
1412,Which reagent hydrolyzes nitriles to carboxylic acids in acid?,H₃O+,OH–,PCC,LiAlH₄,A,organic,medium
1413,Fischer esterification can be driven by removing what?,Water,Alcohol,Acid,Heat,A,organic,medium
1414,Which reaction uses DCC for amide bond formation?,Peptide synthesis,Fischer esterification,Aldol condensation,Michael addition,A,organic,medium
1415,Which reagent deprotects Fmoc groups?,Piperidine,TFA,HCl,NaOH,A,organic,medium
1416,Which reagent is used in Mitsunobu reaction?,DEAD/PPh₃,DCC,NBS,BH₃,A,organic,medium
1417,Mitsunobu reaction inverts which functional group?,Alcohol,Amine,Carboxylic acid,Cetone,A,organic,medium
1418,Swern oxidation uses which reagent?,DMSO/oxalyl chloride,DMSO/TFAA,DMSO/Ac₂O,DMSO/HCl,A,organic,medium
1419,Dess–Martin oxidation uses which reagent?,DMP,PCC,Jones,Swern,A,organic,medium
1420,Jones oxidation uses which reagent?,CrO₃/H₂SO₄,PCC,DMP,Swern,A,organic,medium
1421,What functional group does the haloform reaction identify?,Methyl ketone,Aldehyde,Alcohol,Ester,A,organic,medium
1422,Iodoform test gives precipitate for compounds with what?,CH₃CO–,CH₂CO–,CH=CO–,CO–,A,organic,medium
1423,Which reagent halogenates methyl ketones α to carbonyl?,Br₂/acid,NBS,Cl₂/UV,Br₂/UV,A,organic,medium
1424,Haloform reaction proceeds by what mechanism?,Nucleophilic addition–elimination,Radical substitution,Electrophilic addition,Elimination,A,organic,medium
1425,Zimmerman–Traxler transition state is involved in what?,Aldol reaction,Michael addition,Claisen condensation,Diels–Alder,A,organic,medium
1426,Which reagent cleaves vicinal diols oxidatively?,HIO₄,KMnO₄,O₃,O₂,A,organic,medium
1427,Periodic acid cleavage of vicinal diols yields?,Two carbonyls,Two alcohols,Alkanes,Acids,A,organic,medium
1428,Wittig reaction typically yields which alkene geometry with unstabilized ylides?,Z-alkene,E-alkene,None,Racemic,A,organic,medium
1429,Which reaction converts alcohols to alkenes?,Dehydration,Esterification,Oxidation,Reduction,A,organic,medium
1430,Which reaction converts alkenes to alcohols?,Hydration,Hydrogenation,Halogenation,Ozónolisis,A,organic,medium
1431,What reaction adds Br₂ anti across an alkene?,Bromination,Halohydrin formation,Radical bromination,Hydrogenation,A,organic,medium
1432,Sharpless epoxidation is enantioselective for which substrate?,Allylic alcohols,Internal alkenes,Terminal alkenes,Aromatics,A,organic,medium
1433,Jacobsen epoxidation uses which metal catalyst?,Mn,Ti,Fe,Co,A,organic,medium
1434,Prilezhaev epoxidizes alkenes using?,Peracids,KMnO₄,H₂O,O₃,A,organic,medium
1435,Benzilic acid rearrangement converts benzil into?,Benzilic acid,Benzoic acid,Benzaldehyde,Benzene,A,organic,medium
1436,"In the Sharpless asymmetric epoxidation of (E)-2-hexen-1-ol using (+)-DET, what is the absolute configuration of the epoxide? ","(2R,3R)","(2S,3S)","(2R,3S)","(2S,3R)",A,organic ,hard
1437,"In the Corey–Bakshi–Shibata (CBS) reduction of acetophenone with (S)-oxazaborolidine, which enantiomer predominates? ",(R)-1-phenylethanol,(S)-1-phenylethanol,racemate,meso,A,organic ,hard
1438,"In the Ireland–Claisen rearrangement of an allylic ester, which intermediate directs stereochemistry? ",Silyl ketene acetal,Oxonium ion,Carbocation,Enolate,A,organic ,hard
1439,Which reagent effects anti‐Markovnikov hydration of 1‐hexene? ,1. BH₃·THF 2. H₂O₂/NaOH,H₃O⁺,Hg(OAc)₂/NaBH₄,H₂/Pt,A,organic ,hard
1440,"In the Baeyer–Villiger oxidation of cyclobutanone, what ring‐expanded product forms? ",γ-Butyrolactone,δ-Lactone,ε-Lactone,α-Lactone,A,organic ,hard
1441,Which mechanism describes the elimination in the Cope rearrangement? ,"Sigmatropic [3,3] shift","[1,5] hydrogen shift","[2,3] sigmatropic",[4+2] cycloaddition,A,organic ,hard
1442,What is the major product of the Claisen rearrangement of allyl phenyl ether? ,o-Allylphenol,p-Allylphenol,m-Allylphenol,No rearrangement,A,organic ,hard
1443,Which reaction most efficiently converts a primary amide to a primary amine with one fewer carbon? ,Hofmann rearrangement,Curtius rearrangement,Barton decarboxylation,Congress–Smith,A,organic ,hard
1444,"In the Simmons–Smith cyclopropanation of styrene, what intermediate reacts with the double bond? ",Iodomethylzinc iodide,Carbene free radical,Zinc acetylide,Diazomethane,A,organic ,hard
1445,Which reagent combination performs dihydroxylation of alkenes syn‐selectively? ,OsO₄/NMO,KMnO₄/heat,mCPBA,H₂/Pt,A,organic ,hard
1446,What is the product of the Corey–Fuchs homologation of benzaldehyde? ,Phenylacetylene,Styrene,Benzyl chloride,Benzyl alcohol,A,organic ,hard
1447,Which coupling reaction uses a boronic acid and a palladium catalyst? ,Suzuki,Heck,Sonogashira,Stille,A,organic ,hard
1448,"In the Sonogashira coupling of phenyl iodide with trimethylsilylacetylene, what is the immediate product? ",Phenyl–C≡C–SiMe₃,Phenylacetylene,Phenylethene,Phenylalkane,A,organic ,hard
1449,Which reagent converts a nitrile to an aldehyde under mild conditions? ,DIBAL-H at –78 °C,LiAlH₄,BH₃·THF,NaBH₄,A,organic ,hard
1450,What is the key intermediate in a Mukaiyama aldol reaction? ,Silyl enol ether,Aldehyde radical,Carbocation,Oxonium ion,A,organic ,hard
1451,"Which named rearrangement transforms tertiary allylic alcohols to α,β‐unsaturated ketones? ",Meyer–Schuster rearrangement,Pinacol rearrangement,Beckmann rearrangement,Favorskii rearrangement,A,organic ,hard
1452,Which catalyst is used in the asymmetric hydrogenation of dehydroamino acids? ,Rh–BINAP,Ru–BINAP,Pt/C,Pd/C,A,organic ,hard
1453,What stereochemical outcome occurs in a Sharpless dihydroxylation with AD-mix-α on (E)-alkenes? ,Enantioenriched syn-diol,Enantioenriched anti-diol,Racemic syn-diol,Mesodiol,A,organic ,hard
1454,Which reagent effects a Swern oxidation? ,DMSO/oxalyl chloride/DIEA,PCC,CrO₃/H₂SO₄,KMnO₄,A,organic ,hard
1455,"In a Mitsunobu reaction of a secondary alcohol with benzoic acid, what inversion occurs? ",Complete inversion,Retention,Racemization,Epimerization,A,organic ,hard
1456,What is the product of the Corey–Nicolaou oxidation of primary alcohols? ,Aldehydes,Carboxylic acids,Esters,Ketones,A,organic ,hard
1457,Which step in the Ramberg–Bäcklund reaction generates sulfur dioxide? ,Elimination of SO₂,C–S bond formation,S–O bond cleavage,Radical recombination,A,organic ,hard
1458,"In the Julia–Lythgoe olefination using phenyl sulfone, what alkene stereochemistry predominates? ",E-alkene,Z-alkene,Mixture only,E-alkene only,A,organic ,hard
1459,Which reagent mediates a Ts group removal via intramolecular SN₂? ,NaSEt,KSeCN,NaCN,NaI,A,organic ,hard
1460,"In the Barton–McCombie deoxygenation of alcohols, which intermediate gives radical? ",Thionocarbonate radical,Nx radical,Diazonium radical,Acetal radical,A,organic ,hard
1461,Which reaction sequence converts a carboxylic acid to a terminal alkyne? ,1. SOCl₂ 2. CBr₄/PPh₃ 3. BuLi,1. LiAlH₄ 2. PBr₃ 3. NaNH₂,1. PCl₅ 2. DBU 3. H₂/Pt,1. SOCl₂ 2. Lindlar catalyst,A,organic ,hard
1462,What is the stereochemical result of a radical cyclization of⁵⁻hexenyl bromide? ,Trans–cyclopentane,Cis–cyclopentane,No cyclization,Mixture,A,organic ,hard
1463,Which reagent effects intramolecular nitrone–olefin cycloaddition (3+2)? ,Nitrone precursor,PhI(OAc)₂,Br₂/UV,mCPBA,A,organic ,hard
1464,"In the Ireland–Claisen rearrangement, how is E/Z selectivity controlled? ",Silyl ketene acetal geometry,Solvent polarity,Temperature only,Catalyst only,A,organic ,hard
1465,Which organocatalyst is used in the proline-catalyzed intramolecular aldol? ,L-Proline,S-Proline,H-Proline,P-Proline,A,organic ,hard
1466,What is the key intermediate in a Noyori asymmetric transfer hydrogenation? ,Ru–hydride,Rh–hydride,Ir–hydride,Pt–hydride,A,organic ,hard
1467,"Which reagent effects the Corey–Winter olefination of 1,2-diols? ",Thiocarbonate + BuLi,Ph₃P=CH₂,SOCl₂,PCC,A,organic ,hard
1468,Which rearrangement of oximes yields primary amines with one fewer carbon? ,Beckmann rearrangement,Rosenmund–von Braun,Favorskii rearrangement,Baeyer–Villiger,A,organic ,hard
1469,"In the Buchwald–Hartwig amination, what type of bond forms? ",C–N,P–Cl,C–O,C–C,A,organic ,hard
1470,Which ligand enables high‐turnover Suzuki couplings at room temperature? ,XPhos,BINAP,TADDOL,Ph₃P,A,organic ,hard
1471,What intermediate is formed in the Stille coupling? ,Organostannane complex,Organoboronate complex,Organolithium complex,Organomagnesium complex,A,organic ,hard
1472,Which acid–base technique separates enantiomers using diastereomeric salts? ,Resolution with tartaric acid,Chiral HPLC,Enzymatic resolution,Crystallization only,A,organic ,hard
1473,Which reagent deprotects Boc groups under neutral conditions? ,TFA,HCl,NaOH,TBAF,A,organic ,hard
1474,Which product arises from photochemical Norrish type II reaction of ketones? ,Alkene + aldehyde,Alcohol + ketone,Carboxylic acid,Epoxide,A,organic ,hard
1475,What is the key step in the Ferrier rearrangement of glycals? ,Migration of double bond,Radical cleavage,Carbocation capture,Nucleophilic addition,A,organic ,hard
1476,Which phosphine ligand is best for reductive amination catalysts? ,t-BuXPhos,Ph₃P,BINAP,DIPAMP,A,organic ,hard
1477,Which mechanism underlies the Meinwald rearrangement of epoxides? ,Hydride shift+carbocation,Concerted,SN₂,SN₁,A,organic ,hard
1478,Which reagent generates nitrile oxides from oximes? ,NaOCl/AcOH,PCC,SOCl₂,PPh₃,A,organic ,hard
1479,Which organocatalyst effects MacMillan iminium activation? ,Imidazolidinone,Proline,Cinchona alkaloid,TADDOL,A,organic ,hard
1480,"In the Pictet–Spengler reaction, what intermediate cyclizes? ",Iminium ion,Enolate,Free radical,Carbocation,A,organic ,hard
1481,Which cycloaddition is symmetry‐forbidden under thermal conditions? ,[2+2] cycloaddition,[4+2] cycloaddition,[3+2] cycloaddition,[5+2] cycloaddition,A,organic ,hard
1482,Which reagent effects photo‐Wagner–Meerwein rearrangement? ,UV light only,Heat only,Acid only,Base only,A,organic ,hard
1483,What is the key intermediate in the Baylis–Hillman reaction? ,Zwitterionic enolate,Carbanion,Nitrile,NH₂ radical,A,organic ,hard
1484,Which catalyst is used in the Sharpless asymmetric dihydroxylation? ,OsO₄/AD-mix,KMnO₄,CrO₃,H₂O₂,A,organic ,hard
1485,What is the product of the Carroll rearrangement of β-keto esters? ,γ-Diketone,β-Diketone,α-Diketone,δ-Diketone,A,organic ,hard
1486,Which catalyzes the asymmetric epoxidation of allylic alcohols? ,Sharpless catalyst,Jacobsen catalyst,Mosher’s acid,PCC,A,organic ,hard
1487,Which ligand framework is used in the Grubbs’ second‐generation catalyst? ,NHC,Ph₃P,BINAP,TADDOL,A,organic ,hard
1488,What is the active species in metathesis with Grubbs catalysts? ,Ru-carbene,Ru-hydride,Ru-alkoxide,Ru-allyl,A,organic ,hard
1489,"Which reaction converts 1,3-dienes to cyclopentenes under Lewis acid? ",Pauson–Khand reaction,Diels–Alder,Heck,Michael,A,organic ,hard
1490,Which reagent effects oxidative cyclization of enediynes? ,Co(OAc)₂,O₂,H₂O₂,KMnO₄,A,organic ,hard
1491,What intermediate forms in the Nenitzescu indole synthesis? ,Quinone methide,Free radical,Carbocation,Carbanion,A,organic ,hard
1492,Which reagent effects direct C–H amination of arenes? ,Rh₂(OAc)₄,AgOAc,KMnO₄,H₂/Pd,A,organic ,hard
1493,Which mechanism describes the aza‐Claisen rearrangement? ,"[3,3]-Sigmatropic","[2,3]-Sigmatropic","[1,3]-Sigmatropic","[1,5]-Sigmatropic",A,organic ,hard
1494,Which reagent photochemically generates carbenes from diazoacetates? ,UV light,Heat,Acid/Base,AIBN,A,organic ,hard
1495,What is the product of the Boekelheide rearrangement of pyridine N-oxides? ,2-Acetoxypyridine,3-Acetoxypyridine,4-Acetoxypyridine,No reaction,A,organic ,hard
1496,Which reaction produces β-lactams from ketenes and imines? ,Staudinger synthesis,Beckmann,Curtius,Hofmann,A,organic ,hard
1497,Which reagent effects Norrish type I cleavage of ketones? ,UV light,Heat,Acid,Base,A,organic ,hard
1498,Which step is key in the Nef reaction? ,Nitronate hydrolysis,Oxidation,Reduction,Elimination,A,organic ,hard
1499,Which reaction forms isoxazolines from alkenes and nitrile oxides? ,3+2 Cycloaddition,Diels–Alder,Aldol,Claisen,A,organic ,hard
1500,Which catalyst effects the Stetter reaction? ,Thiazolium salt,Pyridinium chloride,Proline,Imidazole,A,organic ,hard
1501,Which reaction converts allylic alcohols to enones under Pd catalysis? ,Saegusa–Ito oxidation,Wacker oxidation,Heck,Michael,A,organic ,hard
1502,Which reagent performs enzymatic epoxidation of terminal alkenes? ,Styrene monooxygenase,P₄₅₀,OsO₄,mCPBA,A,organic ,hard
1503,Which enzyme catalyzes stereoselective dehydrogenation in steroid biosynthesis? ,3β-HSD,CYP₄₅₀,ADH,KRED,A,organic ,hard
1504,What is the chemical symbol for sodium?,Na,K,Na+,S,A,university,easy
1505,What is the pH of a neutral solution at 25°C?,7,0,14,1,A,university,easy
1506,What is the molar mass of water in g/mol?,18.02,16,20.02,17.01,A,university,easy
1507,What is the atomic number of carbon?,6,12,14,8,A,university,easy
1508,What is Avogadro’s number?,6.02×10²³,3.14,1.01×10³,9.81×10²,A,university,easy
1509,What is the charge of an electron?,–1,1,0,–2,A,university,easy
1510,What is the formula for table salt?,NaCl,KCl,CaCl₂,Na₂CO₃,A,university,easy
1511,What is the unit of pressure in the SI system?,Pascal,atm,bar,torr,A,university,easy
1512,Which gas law relates pressure and volume at constant temperature?,Boyle’s Law,Charles’s Law,Avogadro’s Law,Ideal Gas Law,A,university,easy
1513,What is the melting point of ice in °C?,0,32,100,273,A,university,easy
1514,What is the basic SI unit for mass?,Kilogram,Gram,Milligram,Newton,A,university,easy
1515,Which element has atomic number 1?,Hydrogen,Helium,Lithium,Oxygen,A,university,easy
1516,What is the most abundant gas in Earth’s atmosphere?,Nitrogen,Oxygen,Argon,Carbon dioxide,A,university,easy
1517,What is the chemical formula for carbon dioxide?,CO₂,CO,O₂,CH₄,A,university,easy
1518,What is the electron configuration of neon?,1s₂ 2s₂ 2p₆,1s₂ 2p₆,1s₂ 2s₂ 2p₄,2s₂ 2p₆,A,university,easy
1519,What is the oxidation state of oxygen in water?,–2,2,0,–1,A,university,easy
1520,What is the chemical formula for ammonia?,NH₃,NH₄,O₃,NH₂,A,university,easy
1521,What is the common name for CH₃COOH?,Acetic acid,Formic acid,Propionic acid,Butyric acid,A,university,easy
1522,What is the molecular geometry of CO₂?,Linear,Bent,Tetrahedral,Trigonal planar,A,university,easy
1523,What type of bond is formed by sharing electrons?,Covalent,Ionic,Metallic,Hydrogen,A,university,easy
1524,What is the pH of a 0.1 M HCl solution?,1,2,3,4,A,university,easy
1525,Which substance is an Arrhenius acid?,HCl,NaOH,H₂O,CO₂,A,university,easy
1526,Which substance is an Arrhenius base?,NaOH,HCl,H₂SO₄,HClO₄,A,university,easy
1527,What symbol denotes standard enthalpy change?,ΔH,ΔG,ΔS,ΔE,A,university,easy
1528,What is the common name for NaOH?,Sodium hydroxide,Potassium hydroxide,Calcium hydroxide,Magnesium hydroxide,A,university,easy
1529,Which of the following is a metal?,Iron,Chlorine,Helium,Neon,A,university,easy
1530,What is the main intermolecular force in water?,Hydrogen bonding,London dispersion,Ionic bond,Metallic bond,A,university,easy
1531,Which unit measures amount of substance?,Mole,Gram,Liter,Newton,A,university,easy
1532,What is the ideal gas constant R in J/(mol·K)?,8.314,0.082,1,273,A,university,easy
1533,Which principle states no two electrons can have identical four quantum numbers?,Pauli exclusion,Aufbau,Hund’s rule,Heisenberg uncertainty,A,university,easy
1534,What is the empirical formula of hydrogen peroxide?,HO,H₂O,OOH,HHO,A,university,easy
1535,What concentration unit expresses grams of solute per 100 g of solution?,Mass percent,Mole percent,Molarity,Molality,A,university,easy
1536,What is the simplest common sugar?,Glucose,Fructose,Sucrose,Lactose,A,university,easy
1537,What is the approximate refractive index of water?,1.33,1,1.5,2,A,university,easy
1538,What symbol denotes freezing‐point depression constant?,Kf,kb,ka,Kr,A,university,easy
1539,What is the unit for molality?,mol/kg,mol/L,g/L,mol%,A,university,easy
1540,Which law describes vapor pressure lowering in solutions?,Raoult’s law,Henry’s law,Boyle’s law,Charles’s law,A,university,easy
1541,What is the chemical formula for sulfuric acid?,H₂SO₄,H₂SO₃,HCl,HNO₃,A,university,easy
1542,"Which solution is more acidic, pH 2 or pH 4?",pH 2,pH 4,They are equal,Impossible to tell,A,university,easy
1543,What is the heat required to raise 1 g of water by 1 °C called?,Calorie,Joule,Erg,Watt,A,university,easy
1544,What is the SI unit of energy?,Joule,Calorie,Erg,Electronvolt,A,university,easy
1545,Which instrument measures pressure?,Barometer,Thermometer,Hygrometer,Voltmeter,A,university,easy
1546,Which instrument measures pH?,pH meter,Thermometer,Spectrophotometer,Barometer,A,university,easy
1547,What is the rate law for a first‐order reaction?,rate = k[A],rate = k[A]²,rate = k,rate = k[A][B],A,university,easy
1548,In a first‐order reaction the half‐life is independent of initial concentration,TRUE,FALSE,Depends,Unknown,A,university,easy
1549,What is the unit of the rate constant for a second‐order reaction?,L/(mol·s),s⁻¹,mol/L,dimensionless,A,university,easy
1550,What device converts spontaneous redox reactions into electric current?,Galvanic cell,Electrolysis cell,Photocell,Fuel cell,A,university,easy
1551,In a galvanic cell oxidation occurs at the,Anode,Cathode,Salt bridge,Electrolyte,A,university,easy
1552,Which species is reduced in a Zn/Cu galvanic cell?,Cu₂+,Zn₂+,Zn,Cu,A,university,easy
1553,What is the standard hydrogen electrode potential?,0 V,1.0 V,–0.76 V,0.34 V,A,university,easy
1554,What is the visible light wavelength range?,400–700 nm,200–400 nm,700–1000 nm,100–200 nm,A,university,easy
1555,Which solvent is polar aprotic?,Acetone,Water,Ethanol,Methanol,A,university,easy
1556,Which solvent is nonpolar?,Hexane,Water,Acetone,Methanol,A,university,easy
1557,Which technique separates mixtures by boiling point?,Distillation,Filtration,Chromatography,Extraction,A,university,easy
1558,Which technique separates by particle size?,Filtration,Distillation,Chromatography,Centrifugation,A,university,easy
1559,Which technique separates based on adsorption to a stationary phase?,Chromatography,Filtration,Distillation,Extraction,A,university,easy
1560,What color is an aqueous cobalt(II) chloride solution?,Pink,Blue,Green,Yellow,A,university,easy
1561,What color is a potassium permanganate solution?,Purple,Pink,Green,Yellow,A,university,easy
1562,What is the chemical formula for glucose?,C₆H₁₂O₆,C₆H₆,O₆H₁₂,C₁₂H₆O₆,A,university,easy
1563,What is the molecular geometry of NH₃?,Trigonal pyramidal,Bent,Tetrahedral,Linear,A,university,easy
1564,Which law relates volumes of gases in reactions to stoichiometry?,Gay-Lussac’s law,Boyle’s law,Charles’s law,Avogadro’s law,A,university,easy
1565,Which pH indicator turns pink in basic solution?,Phenolphthalein,Bromothymol blue,Methyl orange,Methylene blue,A,university,easy
1566,What are the products of acid‐base neutralization?,Salt and water,Gas and water,Acid and base,Heat only,A,university,easy
1567,What defines the equivalence point in titration?,Stoichiometric equivalence,Indicator color change,pH 7,Start volume,A,university,easy
1568,What is the symbol for Gibbs free energy change?,ΔG,ΔH,ΔS,ΔE,A,university,easy
1569,What is the molar heat capacity of an ideal monatomic gas?,3/2 R,5/2 R,3 R,R,A,university,easy
1570,What does the third law of thermodynamics state about entropy at 0 K?,Entropy of a perfect crystal is zero,Energy is zero,Temperature is undefined,Pressure is infinite,A,university,easy
1571,What is the ideal gas law equation?,PV = nRT,PV/n = RT,P/n = RT,V = nRT,A,university,easy
1572,What is the expression for pressure–volume work in a closed system?,w = –PΔV,w = PΔV,w = –ΔH,w = ΔH,A,university,easy
1573,What is the SI base unit for temperature?,Kelvin,Celsius,Fahrenheit,Rankine,A,university,easy
1574,"At STP, 22.4 L of an ideal gas contains how many moles?",1,2,0.5,22.4,A,university,easy
1575,What is the mass percent of hydrogen in H₂O?,11.11%,88.89%,50%,25%,A,university,easy
1576,How many electrons does a neutral oxygen atom have?,8,16,6,2,A,university,easy
1577,What is the general formula of an aldehyde?,R–CHO,R–COOH,R–OH,R–NH₂,A,university,easy
1578,Which reagent converts an alkene to a vicinal trans‐diol?,Cold dilute KMnO₄,OsO₄,mCPBA,H₂/Pt,A,university,easy
1579,Which of the following is a non‐electrolyte?,Glucose,NaCl,HCl,NaOH,A,university,easy
1580,What type of bond is present in NaCl?,Ionic,Covalent,Metallic,Hydrogen,A,university,easy
1581,What is the van ’t Hoff factor for NaCl in aqueous solution?,2,1,3,0,A,university,easy
1582,Which symbol denotes the freezing‐point depression constant?,Kf,kb,ka,Kr,A,university,easy
1583,What is the unit of the rate constant for a zero‐order reaction?,mol/(L·s),s⁻¹,mol²/(L²·s),dimensionless,A,university,easy
1584,Which acid is diprotic?,H₂SO₄,HCl,HNO₃,H₃PO₄,A,university,easy
1585,Which acid is monoprotic?,HCl,H₂SO₄,H₃PO₄,H₂CO₃,A,university,easy
1586,What is Beer's law equation?,A = εbc,A = εb/c,A = lc/b,A = b/εc,A,university,easy
1587,What is the equivalence‐point pH for titrating a strong acid with a strong base?,7,>7,<7,Depends on concentration,A,university,easy
1588,What describes the common‐ion effect?,Decreased solubility due to common ion,Increased solubility,Dissolution,Different,A,university,easy
1589,Which gas behaves most like an ideal gas?,He,CO₂,NH₃,H₂O,A,university,easy
1590,What is the half‐reaction for oxidation of Fe₂+ to Fe₃+?,Fe₂+ → Fe₃+ + e–,Fe₃+ → Fe₂+ + e–,Fe₂+ + e– → Fe,Fe₃+ + e– → Fe₂+,A,university,easy
1591,Which technique separates enantiomers using a chiral stationary phase?,Chiral HPLC,Gas chromatography,Distillation,Filtration,A,university,easy
1592,What is the definition of pH?,–log[H+],log[H+],ln[H+],[H+],A,university,easy
1593,What is the effective buffering range of a Henderson–Hasselbalch buffer?,pKa ± 1,pKa ± 0.1,pKa ± 5,pKa ± 10,A,university,easy
1594,"When 2 mol H₂ react with 1 mol O₂ to form H₂O, the limiting reagent is:",O₂,H₂,H₂O,none,D,university,medium
1595,"At the half‐equivalence point in a weak acid titration, the pH equals:",pKa,7,0,14,A,university,medium
1596,"In a buffer with [HA] = [A⁻], the pH equals:",pKa,pKb,7,pKw,A,university,medium
1597,The solubility of AgCl (Ksp = 1.8×10⁻¹⁰) in pure water is approximately:,1.3×10⁻⁵ M,1.8×10⁻¹⁰ M,4.2×10⁻⁶ M,1.0×10⁻³ M,A,university,medium
1598,The coordination number of [Fe(CN)₆]⁴⁻ is:,6,4,8,2,A,university,medium
1599,For a tetrahedral complex Δt equals:,4/9 Δo,1/2 Δo,2/5 Δo,1/3 Δo,A,university,medium
1600,The standard cell potential E°cell equals:,E°cathode – E°anode,E°anode – E°cathode,E°cathode + E°anode,E°anode + E°cathode,A,university,medium
1601,The relationship between ΔG° and equilibrium constant K is:,ΔG° = −RT ln K,ΔG° = RT ln K,ΔG° = K/RT,ΔG° = RT/K,A,university,medium
1602,The integrated rate law for a first‐order reaction is:,ln([A]ₜ/[A]₀) = −kt,1/[A]ₜ − 1/[A]₀ = kt,[A]ₜ = [A]₀ − kt,[A]ₜ = [A]₀ e(kt),A,university,medium
1603,"If doubling [A] doubles the rate, the reaction is:",first order in A,second order in A,zero order in A,third order,A,university,medium
1604,"In the Arrhenius equation, a plot of ln k vs 1/T has slope:",−Ea/R,Ea/R,−R/Ea,R/Ea,A,university,medium
1605,SN₁ reactions are fastest for:,tertiary alkyl halides,primary alkyl halides,methyl halides,secondary alkyl halides,A,university,medium
1606,SN₂ reactions are fastest for:,methyl halides,tertiary halides,secondary halides,neopentyl halides,A,university,medium
1607,A triplet at 1.2 ppm and quartet at 3.6 ppm in a ¹H NMR indicates:,an ethyl group,isopropyl group,t-butyl group,methyl group,A,university,medium
1608,A sharp IR absorption at ~2250 cm⁻¹ indicates:,nitrile,carbonyl,hydroxyl,C=C,A,university,medium
1609,Increasing conjugation in a molecule typically:,bathochromic shifts λmax,hypsochromic shifts,no change,decreases intensity,A,university,medium
1610,"In mass spectrometry, the base peak is:",the most abundant fragment,the molecular ion,the M+1 peak,the least abundant peak,A,university,medium
